site,project_name,id,project_id,plot,latitude,longitude,treatment,profile,min_org,horizon,raw_depth,adjusted_depth,sample_depth,fine_coarse,fine_bulk_density,fine_carbon,fine_nitrogen,dry_matter,carbon
AK_Rogers_C001,AK_Rogers,ps.3568,BR_AK1.ps.3,AK_Rogers_C001,64.330835,-145.870348,Control,A,org,mesic,16.30683,16.30683,3.44526,1,0.134276,32.103245,,4626.157318,1485.146618
AK_Rogers_C001,AK_Rogers,ps.3569,BR_AK1.ps.4,AK_Rogers_C001,64.330835,-145.870348,Control,A,org,humic,19.10683,19.10683,2.8,1,0.421573,10.912405,,11804.044,1288.105088
AK_Rogers_C001,AK_Rogers,ps.3566,BR_AK1.ps.1,AK_Rogers_C001,64.330835,-145.870348,Control,A,org,moss,8.13956,8.13956,8.13956,1,0.0191459,33.925791,,1558.392018,528.696819
AK_Rogers_C001,AK_Rogers,ps.3567,BR_AK1.ps.2,AK_Rogers_C001,64.330835,-145.870348,Control,A,org,fibric,12.86157,12.86157,4.72201,1,0.0685801,42.462038,,3238.35918,1375.073306
AK_Rogers_C001,AK_Rogers,ps.3572,BR_AK1.ps.7,AK_Rogers_C001,64.330835,-145.870348,Control,B,org,mesic,18.2,18.2,4.0723,1,0.077842,33.392283,,3169.959766,1058.521936
AK_Rogers_C001,AK_Rogers,ps.3573,BR_AK1.ps.8,AK_Rogers_C001,64.330835,-145.870348,Control,B,org,humic,20.7,20.7,2.5,1,0.281309,16.123594,,7032.725,1133.928026
AK_Rogers_C001,AK_Rogers,ps.3570,BR_AK1.ps.5,AK_Rogers_C001,64.330835,-145.870348,Control,B,org,moss,9.32141,9.32141,9.32141,1,0.0169555,38.065027,,1580.491673,601.6145819
AK_Rogers_C001,AK_Rogers,ps.3571,BR_AK1.ps.6,AK_Rogers_C001,64.330835,-145.870348,Control,B,org,fibric,14.1277,14.1277,4.80629,1,0.0247649,36.264105,,1190.272912,431.6418187
AK_Rogers_C001,AK_Rogers,ps.3576,BR_AK1.ps.11,AK_Rogers_C001,64.330835,-145.870348,Control,C,org,mesic,25.69995,25.69995,7.02249,1,0.0695754,34.763187,,4885.925507,1698.503421
AK_Rogers_C001,AK_Rogers,ps.3577,BR_AK1.ps.12,AK_Rogers_C001,64.330835,-145.870348,Control,C,org,humic,27.69995,27.69995,2.0,1,0.320244,18.05763,,6404.88,1156.569532
AK_Rogers_C001,AK_Rogers,ps.3578,BR_AK1.ps.13,AK_Rogers_C001,64.330835,-145.870348,Control,D,org,moss,5.42637,5.42637,5.42637,1,0.00957295,42.893891,,519.4636869,222.8181876
AK_Rogers_C001,AK_Rogers,ps.3579,BR_AK1.ps.14,AK_Rogers_C001,64.330835,-145.870348,Control,D,org,fibric,16.32337,16.32337,10.897,1,0.0163297,40.224639,,1779.447409,715.7762965
AK_Rogers_C001,AK_Rogers,ps.3580,BR_AK1.ps.15,AK_Rogers_C001,64.330835,-145.870348,Control,D,org,mesic,24.79533,24.79533,8.47196,1,0.0359042,36.363417,,3041.789462,1106.098586
